percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.08,1.06,1.05,1.06,1.08
1.14,1.15,1.05,1.12,1.16
1.18,1.26,1.18,1.16,1.22
1.2,1.32,1.24,1.19,1.22
1.13,1.36,1.3,1.2,1.21
1.13,1.36,1.32,1.21,1.21
1.14,1.36,1.35,1.21,1.21
1.15,1.36,1.37,1.21,1.22
1.15,1.36,1.38,1.21,1.22
1.15,1.36,1.38,1.21,1.22
1.15,1.36,1.39,1.22,1.23
1.14,1.36,1.39,1.22,1.23
1.14,1.37,1.41,1.22,1.23
1.14,1.37,1.41,1.23,1.23
1.14,1.37,1.43,1.24,1.24
1.15,1.38,1.45,1.25,1.25
1.16,1.38,1.46,1.26,1.26
1.16,1.39,1.46,1.27,1.27
1.17,1.39,1.46,1.27,1.28
1.18,1.4,1.47,1.28,1.29
1.18,1.4,1.47,1.28,1.3
1.19,1.4,1.46,1.29,1.31
1.2,1.4,1.46,1.29,1.32
1.21,1.4,1.46,1.29,1.33
1.22,1.4,1.46,1.3,1.34
1.23,1.39,1.46,1.3,1.34
1.24,1.39,1.46,1.31,1.35
1.25,1.39,1.45,1.31,1.35
1.26,1.39,1.45,1.31,1.36
1.27,1.4,1.45,1.32,1.36
